id,page_path,page_name,icon_name,created_at,updated_at,sort_order,parent_page_id,is_parent_menu,menu_level,page_title,is_displayed_in_menu,display_condition,menu_visibility,parent_menu_id,menu_group,menu_template,css_classes,menu_icon_type,custom_icon_url,badge_text,badge_color,requires_confirmation,confirmation_message,external_url,opens_in_new_tab,is_divider,divider_label
48,/training/sessions,សម័យបណ្តុះបណ្តាល,CalendarDays,2025-06-17 05:33:52.604151+07,2025-06-17 09:07:14.93701+07,21,16,f,1,Training Sessions,t,,visible,,training,default,,lucide,,,blue,f,,,f,f,
47,/training/programs,កម្មវិធីបណ្តុះបណ្តាល,ClipboardList,2025-06-17 05:33:52.604151+07,2025-06-17 09:07:14.93701+07,22,16,f,1,Training Programs,t,,visible,,training,default,,lucide,,,blue,f,,,f,f,
50,/training/qr-codes,លេខកូដ QR,QrCode,2025-06-17 05:33:52.604151+07,2025-06-17 09:07:14.93701+07,24,16,f,1,QR Codes,t,,visible,,training,default,,lucide,,New,green,f,,,f,f,
51,/training/feedback,មតិយោបល់បណ្តុះបណ្តាល,MessageSquare,2025-06-17 05:34:08.545751+07,2025-06-17 09:07:14.93701+07,25,16,f,1,Training Feedback,t,,visible,,training,default,,lucide,,5,red,f,,,f,f,
49,/training/participants,អ្នកចូលរួមបណ្តុះបណ្តាល,Users,2025-06-17 05:33:52.604151+07,2025-06-17 09:07:14.93701+07,23,16,f,1,Training Participants,t,,visible,,training,default,,lucide,,,blue,f,,,f,f,
2,/schools,Schools,School,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,3,1,f,1,Schools,t,,visible,,management,default,,lucide,,,blue,f,,,f,f,
7,/students,Students,Users,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,5,1,f,1,Students,t,,visible,,management,default,,lucide,,,blue,f,,,f,f,
12,/collection,Data Collection,Database,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,7,4,f,1,Data Collection,t,,visible,,data_collection,default,,lucide,,,blue,f,,,f,f,
9,/progress,Progress,TrendingUp,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,12,4,f,1,Progress,t,,visible,,analytics,default,,lucide,,,blue,f,,,f,f,
8,/observations,Observations,Eye,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,11,4,f,1,Observations,t,,visible,,data_collection,default,,lucide,,,blue,f,,,f,f,
5,/reports,Reports,FileText,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,13,4,f,1,Reports,t,,visible,,analytics,default,,lucide,,,blue,f,,,f,f,
13,/settings/page-permissions,Pages Management,Shield,2025-06-15 14:42:26+07,2025-06-17 09:07:14.93701+07,17,6,f,1,Pages Management,t,,visible,,administration,admin,,lucide,,,blue,f,,,f,f,
3,/users,Users,Users,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,18,6,f,1,Users,t,,visible,,administration,default,,lucide,,,blue,f,,,f,f,
1,/dashboard,Dashboard,LayoutDashboard,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,1,,f,0,Dashboard,t,,visible,,overview,default,,lucide,,,blue,f,,,f,f,
4,/analytics,Analytics,BarChart3,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,9,,f,0,Analytics,t,,visible,,analytics,default,,lucide,,,blue,f,,,f,f,
6,/settings,System Admin,Settings,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,15,,t,0,System Admin,t,,visible,,administration,admin,,lucide,,,blue,f,,,f,f,
14,/management/hierarchical,Hierarchy Management,Users,2025-06-16 10:46:46.378855+07,2025-06-17 09:07:14.93701+07,16,6,f,1,Hierarchy Management,t,,visible,,administration,default,,lucide,,,blue,f,,,f,f,
16,/training,បណ្តុះបណ្តាល,BookOpen,2025-06-16 14:33:28.376544+07,2025-06-17 09:07:14.93701+07,2,,t,0,បណ្តុះបណ្តាល,t,,visible,,training,default,,lucide,,,blue,f,,,f,f,
11,/visits,Visits,MapPin,2025-06-13 11:32:03.863375+07,2025-06-17 09:07:14.93701+07,14,4,f,1,Visits,t,,visible,,data_collection,default,,lucide,,,blue,f,,,f,f,
